                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7744,                 4.7666,                 2.0632,                0.00889,                0.00483,                0.00467,                0.00208,                  2.973,                 4.7521,                 1.3351,                      0,                      0,                      0
                      2,                 4.7218,                 4.7272,                 1.9715,                   0.01,                0.00544,                0.00536,                0.00265,                 2.8501,                 4.5031,                 1.2803,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 4.2662,                 4.5891,                 1.7976,                0.06333,                0.03444,                0.03344,                 0.0138,                 2.7108,                 3.8388,                  1.199,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 4.0821,                 4.0722,                 1.6462,                0.28778,                 0.1565,                 0.1824,                0.08301,                 2.5588,                 2.3375,                 1.0844,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                  4.162,                 3.3803,                 1.5324,                0.53909,                0.20483,                0.29954,                0.13265,                 2.5354,                 1.5622,                 1.0283,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 4.1329,                 2.7405,                 1.4659,                0.54108,                0.21813,                0.34729,                0.13676,                 2.6925,                 3.9788,                 1.0236,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 3.5427,                 2.5656,                 1.4123,                0.42333,                0.23021,                0.36095,                 0.1314,                 2.8247,                 7.7561,                  1.034,             0.00011287,             0.00011287,             0.00011287
                      8,                 3.1494,                 2.1424,                 1.3288,                0.42667,                0.23202,                0.35957,                0.14032,                 2.7389,                 8.4236,                 1.0227,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.9351,                 1.8674,                 1.2789,                0.40222,                0.21873,                0.32594,                0.12893,                 2.7393,                 8.5387,                 1.0247,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.1994,                 1.6269,                 1.1308,                0.38111,                0.20725,                0.25994,                0.10664,                 2.7385,                 5.8379,                 1.0282,             0.00016396,             0.00016396,             0.00016396
                     11,                 3.1695,                 1.5138,                 1.1778,                0.38333,                0.20846,                0.23243,                0.09984,                 2.7056,                 5.1059,                  1.025,              0.0001802,              0.0001802,              0.0001802
                     12,                  2.944,                 1.5184,                 1.1596,                0.37778,                0.20544,                0.22769,                 0.0995,                 2.6164,                 5.6379,                 1.0108,             0.00019604,             0.00019604,             0.00019604
                     13,                 2.8125,                  1.546,                 1.2125,                    0.4,                0.21752,                 0.2435,                0.11271,                 2.4363,                 5.6757,                0.98804,             0.00021149,             0.00021149,             0.00021149
                     14,                 3.0193,                 1.2412,                 1.0925,                0.44333,                0.24109,                0.27539,                0.12853,                 2.3348,                  5.835,                0.97223,             0.00022654,             0.00022654,             0.00022654
                     15,                   3.11,                 1.6608,                 1.1243,                0.47556,                0.25861,                0.31751,                0.14934,                 2.2777,                    4.9,                0.96292,             0.00024119,             0.00024119,             0.00024119
                     16,                 2.5008,                  1.235,                 1.0665,                0.49556,                0.26949,                0.36522,                0.17114,                 2.2155,                 3.4961,                0.95556,             0.00025545,             0.00025545,             0.00025545
                     17,                 2.5844,                 1.2077,                 1.0824,                0.52444,                 0.2852,                0.40801,                0.18948,                 2.2045,                 3.0905,                0.95571,             0.00026931,             0.00026931,             0.00026931
                     18,                 3.3552,                 1.3438,                 1.1342,                0.52444,                 0.2852,                0.40801,                0.18948,                 2.2045,                 3.0905,                0.95571,             0.00028278,             0.00028278,             0.00028278
                     19,                 2.5786,                 1.3035,                  1.102,                0.54749,                0.27372,                0.41967,                0.18976,                 2.2129,                 2.8674,                 0.9584,             0.00029585,             0.00029585,             0.00029585
                     20,                 2.4743,                 1.1346,                 1.0546,                0.54749,                0.27372,                0.41967,                0.18976,                 2.2129,                 2.8674,                 0.9584,             0.00030852,             0.00030852,             0.00030852
                     21,                 2.4241,                 1.1602,                 1.1002,                0.60035,                0.30393,                0.46536,                0.21396,                 2.1733,                 2.5497,                0.95822,              0.0003208,              0.0003208,              0.0003208
                     22,                 2.3742,                 1.1188,                 1.0717,                0.60035,                0.30393,                0.46536,                0.21396,                 2.1733,                 2.5497,                0.95822,             0.00033268,             0.00033268,             0.00033268
                     23,                 2.5388,                 1.1548,                 1.0617,                0.61742,                0.31118,                0.47364,                0.21529,                 2.1545,                 3.1442,                 0.9576,             0.00034417,             0.00034417,             0.00034417
                     24,                 3.0399,                 1.2305,                 1.0558,                0.61742,                0.31118,                0.47364,                0.21529,                 2.1545,                 3.1442,                 0.9576,             0.00035526,             0.00035526,             0.00035526
                     25,                   2.89,                 1.1734,                 1.0668,                0.60227,                0.31178,                 0.4623,                0.21134,                 2.1474,                 3.6261,                0.95756,             0.00036595,             0.00036595,             0.00036595
                     26,                 2.9463,                 1.1432,                 1.0374,                0.60227,                0.31178,                 0.4623,                0.21134,                 2.1474,                 3.6261,                0.95756,             0.00037625,             0.00037625,             0.00037625
                     27,                 2.5055,                 1.1219,                 1.0455,                0.60478,                0.31299,                0.46473,                0.21269,                 2.1182,                 3.2459,                0.95656,             0.00038615,             0.00038615,             0.00038615
                     28,                 2.7027,                 1.1411,                 1.0412,                0.60478,                0.31299,                0.46473,                0.21269,                 2.1182,                 3.2459,                0.95656,             0.00039566,             0.00039566,             0.00039566
                     29,                 2.3148,                 1.1329,                 1.0831,                0.61148,                0.31239,                0.46745,                0.21793,                 2.1026,                 2.6007,                0.95861,             0.00040477,             0.00040477,             0.00040477
                     30,                 2.7185,                 1.1015,                 1.0054,                0.61148,                0.31239,                0.46745,                0.21793,                 2.1026,                 2.6007,                0.95861,             0.00041348,             0.00041348,             0.00041348
                     31,                 2.4015,                 1.1949,                 1.0447,                0.61524,                 0.3148,                0.47017,                0.22002,                  2.096,                 2.5833,                0.95962,              0.0004218,              0.0004218,              0.0004218
                     32,                 2.4399,                 1.1511,                 1.0532,                0.61524,                 0.3148,                0.47017,                0.22002,                  2.096,                 2.5833,                0.95962,             0.00042972,             0.00042972,             0.00042972
                     33,                 3.1126,                 1.1838,                 1.0808,                0.63874,                0.31722,                0.48051,                0.22763,                 2.0701,                 2.8588,                0.95578,             0.00043725,             0.00043725,             0.00043725
                     34,                 3.2448,                 1.2908,                 1.0332,                0.63874,                0.31722,                0.48051,                0.22763,                 2.0701,                 2.8588,                0.95578,             0.00044438,             0.00044438,             0.00044438
                     35,                 2.6922,                  1.146,                 1.0192,                0.65956,                0.31964,                0.48689,                0.22661,                  2.062,                 2.9989,                0.95439,             0.00045111,             0.00045111,             0.00045111
                     36,                 2.5821,                 1.0666,                 1.0272,                0.65956,                0.31964,                0.48689,                0.22661,                  2.062,                 2.9989,                0.95439,             0.00045745,             0.00045745,             0.00045745
                     37,                 2.6462,                 1.1089,                 1.0167,                0.67773,                0.31178,                0.45924,                0.20775,                 2.0737,                  2.912,                0.95495,             0.00046339,             0.00046339,             0.00046339
                     38,                 2.4907,                 1.0845,                 1.0586,                0.67773,                0.31178,                0.45924,                0.20775,                 2.0737,                  2.912,                0.95495,             0.00046894,             0.00046894,             0.00046894
                     39,                 2.5822,                 1.2077,                 1.0084,                 0.7084,                0.30332,                0.44766,                0.20066,                 2.0759,                 2.5554,                0.95395,             0.00047409,             0.00047409,             0.00047409
                     40,                 2.4395,                 1.1953,                 1.0604,                 0.7084,                0.30332,                0.44766,                0.20066,                 2.0759,                 2.5554,                0.95395,             0.00047884,             0.00047884,             0.00047884
                     41,                 2.4079,                 1.1341,                 1.0055,                0.76251,                0.30091,                0.45792,                0.20621,                 2.0611,                 2.1561,                0.95197,              0.0004832,              0.0004832,              0.0004832
                     42,                  2.604,                 1.2068,                 1.0337,                0.76251,                0.30091,                0.45792,                0.20621,                 2.0611,                 2.1561,                0.95197,             0.00048716,             0.00048716,             0.00048716
                     43,                 2.6945,                 1.2026,                 1.0396,                 0.7596,                0.30929,                 0.4895,                0.22772,                 2.0358,                 2.0016,                0.95024,             0.00049073,             0.00049073,             0.00049073
                     44,                 2.4753,                 1.1569,                 1.0316,                 0.7596,                0.30929,                 0.4895,                0.22772,                 2.0358,                 2.0016,                0.95024,              0.0004939,              0.0004939,              0.0004939
                     45,                 2.4209,                 1.1214,                 1.0235,                0.75732,                0.32689,                0.52376,                0.24839,                 2.0296,                 1.8431,                0.94904,             0.00049667,             0.00049667,             0.00049667
                     46,                 2.4085,                  1.127,                 1.0225,                0.75732,                0.32689,                0.52376,                0.24839,                 2.0296,                 1.8431,                0.94904,             0.00049905,             0.00049905,             0.00049905
                     47,                 2.5292,                 1.0944,                0.99069,                0.79398,                0.33535,                0.53918,                0.25903,                 2.0064,                 1.6199,                0.94417,             0.00050103,             0.00050103,             0.00050103
                     48,                 2.2303,                 1.0097,                 1.0018,                0.79398,                0.33535,                0.53918,                0.25903,                 2.0064,                 1.6199,                0.94417,             0.00050262,             0.00050262,             0.00050262
                     49,                 2.3609,                  1.032,                  1.003,                0.77739,                 0.3334,                0.53663,                0.25155,                 2.0473,                 1.5038,                0.94671,             0.00050381,             0.00050381,             0.00050381
                     50,                 2.4661,                 1.0847,                0.98912,                0.77739,                 0.3334,                0.53663,                0.25155,                 2.0473,                 1.5038,                0.94671,              0.0005046,              0.0005046,              0.0005046
                     51,                 2.4908,                 1.1139,                 1.0049,                0.78863,                0.33414,                0.53837,                0.25302,                 2.0712,                 1.3928,                0.94929,               0.000505,               0.000505,               0.000505
                     52,                 2.6515,                 1.0607,                0.98991,                0.78863,                0.33414,                0.53837,                0.25302,                 2.0712,                 1.3928,                0.94929,               0.000505,               0.000505,               0.000505
                     53,                 2.5368,                 1.0932,                0.99346,                0.78863,                0.33414,                0.53837,                0.25302,                 2.0712,                 1.3928,                0.94929,             0.00050461,             0.00050461,             0.00050461
                     54,                 2.8718,                 1.1059,                 1.0185,                  0.769,                0.34381,                0.54628,                0.25651,                 2.1008,                 1.3729,                0.95389,             0.00050382,             0.00050382,             0.00050382
                     55,                 2.3947,                0.99333,                0.95211,                  0.769,                0.34381,                0.54628,                0.25651,                 2.1008,                 1.3729,                0.95389,             0.00050263,             0.00050263,             0.00050263
                     56,                  2.296,                0.98331,                 0.9782,                  0.769,                0.34381,                0.54628,                0.25651,                 2.1008,                 1.3729,                0.95389,             0.00050105,             0.00050105,             0.00050105
                     57,                 2.6251,                 1.1298,                0.97895,                0.76447,                 0.3432,                0.54569,                0.24846,                 2.1719,                 1.4936,                0.96376,             0.00049907,             0.00049907,             0.00049907
                     58,                 2.5087,                 1.0499,                0.98823,                0.76447,                 0.3432,                0.54569,                0.24846,                 2.1719,                 1.4936,                0.96376,              0.0004967,              0.0004967,              0.0004967
                     59,                 2.4323,                 1.0536,                0.98089,                0.76447,                 0.3432,                0.54569,                0.24846,                 2.1719,                 1.4936,                0.96376,             0.00049393,             0.00049393,             0.00049393
                     60,                 2.4518,                 1.0309,                0.97711,                0.74234,                0.33249,                0.53081,                0.23582,                 2.2115,                 1.6022,                0.96865,             0.00049076,             0.00049076,             0.00049076
                     61,                 2.4693,                 1.0317,                0.96388,                0.74234,                0.33249,                0.53081,                0.23582,                 2.2115,                 1.6022,                0.96865,              0.0004872,              0.0004872,              0.0004872
                     62,                 2.7251,                 1.1051,                0.96175,                0.74234,                0.33249,                0.53081,                0.23582,                 2.2115,                 1.6022,                0.96865,             0.00048324,             0.00048324,             0.00048324
                     63,                 2.4517,                 1.1252,                0.99295,                0.75109,                 0.3426,                0.53834,                0.24386,                 2.1294,                 1.4999,                0.95728,             0.00047889,             0.00047889,             0.00047889
                     64,                 2.3139,                 1.0551,                0.99308,                0.75109,                 0.3426,                0.53834,                0.24386,                 2.1294,                 1.4999,                0.95728,             0.00047414,             0.00047414,             0.00047414
                     65,                 2.3097,                  1.074,                 1.0147,                0.75109,                 0.3426,                0.53834,                0.24386,                 2.1294,                 1.4999,                0.95728,             0.00046899,             0.00046899,             0.00046899
                     66,                 2.3773,                 1.0086,                0.97575,                0.81959,                0.33595,                 0.5459,                0.25805,                 2.0509,                 1.3609,                0.94735,             0.00046345,             0.00046345,             0.00046345
                     67,                 2.3034,                 1.0142,                 0.9637,                0.81959,                0.33595,                 0.5459,                0.25805,                 2.0509,                 1.3609,                0.94735,             0.00045751,             0.00045751,             0.00045751
                     68,                 2.4688,                 1.0556,                0.97257,                0.81959,                0.33595,                 0.5459,                0.25805,                 2.0509,                 1.3609,                0.94735,             0.00045118,             0.00045118,             0.00045118
                     69,                 2.5032,                 1.0816,                 1.0058,                0.80129,                0.34843,                0.55534,                0.27189,                 1.9754,                 1.2004,                0.93846,             0.00044445,             0.00044445,             0.00044445
                     70,                 2.5421,                0.99244,                0.96167,                0.80129,                0.34843,                0.55534,                0.27189,                 1.9754,                 1.2004,                0.93846,             0.00043732,             0.00043732,             0.00043732
                     71,                 2.3173,                 1.0088,                0.97702,                0.80129,                0.34843,                0.55534,                0.27189,                 1.9754,                 1.2004,                0.93846,              0.0004298,              0.0004298,              0.0004298
                     72,                 2.2563,                 1.0294,                0.98767,                0.81311,                0.34804,                0.55755,                0.27859,                 1.9731,                 1.0673,                0.93847,             0.00042188,             0.00042188,             0.00042188
                     73,                 2.6623,                 1.0491,                 0.9575,                0.81311,                0.34804,                0.55755,                0.27859,                 1.9731,                 1.0673,                0.93847,             0.00041357,             0.00041357,             0.00041357
                     74,                 2.3612,                  1.002,                0.97368,                0.81311,                0.34804,                0.55755,                0.27859,                 1.9731,                 1.0673,                0.93847,             0.00040486,             0.00040486,             0.00040486
                     75,                 2.3766,                 1.0266,                0.97711,                0.81615,                0.34864,                0.56068,                0.27695,                 2.0045,                0.98387,                0.94457,             0.00039575,             0.00039575,             0.00039575
                     76,                 2.6282,                 1.0492,                0.96713,                0.81615,                0.34864,                0.56068,                0.27695,                 2.0045,                0.98387,                0.94457,             0.00038625,             0.00038625,             0.00038625
                     77,                 2.2593,                 1.0044,                0.96573,                0.81615,                0.34864,                0.56068,                0.27695,                 2.0045,                0.98387,                0.94457,             0.00037635,             0.00037635,             0.00037635
                     78,                 2.1032,                0.96994,                 1.0054,                0.78789,                0.34864,                0.55611,                 0.2793,                 2.0064,                0.92572,                0.94575,             0.00036606,             0.00036606,             0.00036606
                     79,                 2.3279,                 1.0222,                0.97587,                0.78789,                0.34864,                0.55611,                 0.2793,                 2.0064,                0.92572,                0.94575,             0.00035537,             0.00035537,             0.00035537
                     80,                 2.2558,                0.95435,                0.96598,                0.78789,                0.34864,                0.55611,                 0.2793,                 2.0064,                0.92572,                0.94575,             0.00034428,             0.00034428,             0.00034428
                     81,                 2.2345,                 1.1271,                0.98858,                0.78549,                0.35166,                0.55519,                0.28258,                 2.0053,                0.88798,                 0.9454,              0.0003328,              0.0003328,              0.0003328
                     82,                 2.1884,                 1.0172,                 1.0005,                0.78549,                0.35166,                0.55519,                0.28258,                 2.0053,                0.88798,                 0.9454,             0.00032092,             0.00032092,             0.00032092
                     83,                 3.0118,                 1.1922,                0.99978,                0.78549,                0.35166,                0.55519,                0.28258,                 2.0053,                0.88798,                 0.9454,             0.00030865,             0.00030865,             0.00030865
                     84,                 2.2448,                 1.0597,                  1.023,                 0.8025,                0.34985,                0.55397,                0.28378,                  2.002,                0.87376,                0.94571,             0.00029598,             0.00029598,             0.00029598
                     85,                 2.1633,                 1.0052,                0.99396,                 0.8025,                0.34985,                0.55397,                0.28378,                  2.002,                0.87376,                0.94571,             0.00028291,             0.00028291,             0.00028291
                     86,                 2.0512,                0.96831,                 0.9935,                 0.8025,                0.34985,                0.55397,                0.28378,                  2.002,                0.87376,                0.94571,             0.00026945,             0.00026945,             0.00026945
                     87,                  2.304,                0.98903,                0.96754,                 0.8025,                0.34985,                0.55397,                0.28378,                  2.002,                0.87376,                0.94571,             0.00025559,             0.00025559,             0.00025559
                     88,                 2.6715,                 1.1096,                0.99412,                 0.8317,                0.34562,                0.55788,                0.28407,                 2.0079,                0.86686,                0.94909,             0.00024134,             0.00024134,             0.00024134
                     89,                 2.3889,                 1.0035,                0.97955,                 0.8317,                0.34562,                0.55788,                0.28407,                 2.0079,                0.86686,                0.94909,             0.00022669,             0.00022669,             0.00022669
                     90,                 3.4268,                 1.3117,                 1.0375,                 0.8317,                0.34562,                0.55788,                0.28407,                 2.0079,                0.86686,                0.94909,             0.00021164,             0.00021164,             0.00021164
                     91,                  2.234,                 1.1759,                0.94713,                 0.8317,                0.34562,                0.55788,                0.28407,                 2.0079,                0.86686,                0.94909,              0.0001962,              0.0001962,              0.0001962
                     92,                 2.1119,                 0.9734,                0.97904,                0.81189,                0.35727,                0.56697,                0.28577,                  2.004,                0.85519,                0.94842,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.2186,                 1.3114,                0.93003,                0.81189,                0.35727,                0.56697,                0.28577,                  2.004,                0.85519,                0.94842,             0.00016413,             0.00016413,             0.00016413
                     94,                 2.1428,                 1.0909,                0.97301,                0.81189,                0.35727,                0.56697,                0.28577,                  2.004,                0.85519,                0.94842,              0.0001475,              0.0001475,              0.0001475
                     95,                  2.169,                  1.213,                0.92962,                0.81189,                0.35727,                0.56697,                0.28577,                  2.004,                0.85519,                0.94842,             0.00013047,             0.00013047,             0.00013047
                     96,                  2.802,                 1.9102,                  0.992,                0.79594,                 0.3577,                0.56614,                0.28744,                 1.9984,                0.84989,                0.94676,             0.00011305,             0.00011305,             0.00011305
                     97,                 2.4712,                  1.407,                0.95343,                0.79594,                 0.3577,                0.56614,                0.28744,                 1.9984,                0.84989,                0.94676,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                  2.334,                 1.2574,                0.96032,                0.79594,                 0.3577,                0.56614,                0.28744,                 1.9984,                0.84989,                0.94676,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 2.3584,                 1.2657,                0.93837,                0.79594,                 0.3577,                0.56614,                0.28744,                 1.9984,                0.84989,                0.94676,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 2.0663,                0.96461,                0.98931,                0.85669,                0.35037,                0.57027,                0.28767,                  1.998,                0.85067,                0.94653,             3.9402e-05,             3.9402e-05,             3.9402e-05
